t,r,y,u,e,e_pp,k_e,estado_id,idx_lut,Gc,Gct,mu1,lambda2,xI,xF,d_term,estado_nome
77.23,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,2.5124420241475998e-11,-0.0,Inconsistente -
77.24,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-2.7552882532231782e-11,0.0,Inconsistente -
77.25,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,5.1133696454744445e-11,-0.0,Inconsistente -
77.26,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.2855146903792715e-11,-0.0,Inconsistente -
77.27,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-5.92844919438425e-11,0.0,Inconsistente -
77.28,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,2.014808577198821e-11,-0.0,Inconsistente -
77.29,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,7.844067952299935e-11,-0.0,Inconsistente -
77.3,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-8.999454769576068e-11,0.0,Inconsistente -
77.31,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-9.030108926092944e-11,0.0,Inconsistente -
77.32000000000001,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.254248902098356e-10,-0.0,Inconsistente -
77.33,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,9.395130314430169e-11,-0.0,Inconsistente -
77.34,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-4.4457284947931744e-11,0.0,Inconsistente -
77.35000000000001,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,5.383104195721946e-11,-0.0,Inconsistente -
77.36,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,6.392510592507477e-11,-0.0,Inconsistente -
77.37,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-2.6750433117289838e-11,0.0,Inconsistente -
